country	code	year	arrivals	rec_exports	rec_cusd	rec_ptransi	rec_traveli	transport	travel	comserexp	gni_pc	inflation	gdp_deflator
Andorra	ADO	YR1989	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1990	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1991	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1992	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1993	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1994	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1995	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1996	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1997	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1998	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1999	2347000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2000	2949000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2001	3516000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2002	3387000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2003	3138000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2004	2791000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2005	2418000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2006	2227000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2007	2189000.000000000000	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR2008	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1960	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1961	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1962	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1963	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1964	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1965	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1966	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1967	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1968	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1969	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1970	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1971	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1972	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1973	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1974	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1975	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1976	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1977	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1978	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1979	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1980	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1981	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1982	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1983	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1984	.	.	.	.	.	.	.	.	.	.	.
Angola	AGO	YR1985	.	.	.	.	.	.	.	129000000.000000000000	.	.	0.000012939201
Angola	AGO	YR1986	.	.	.	.	.	.	.	116000000.000000000000	.	-9.134626659348	0.000011757253
Angola	AGO	YR1987	.	.	.	.	.	.	.	93000000.000000000000	690.000000000000	7.657675056685	0.000012657585
Angola	AGO	YR1988	.	.	.	.	.	.	.	128000000.000000000000	630.000000000000	2.291487832757	0.000012947632
Angola	AGO	YR1989	.	.	.	.	.	.	.	150000000.000000000000	670.000000000000	15.934782815250	0.000015010809
Angola	AGO	YR1990	.	.	.	.	.	48.761609907121	20.588235294118	64600000.000000000000	680.000000000000	10.858623914001	0.000016640777
Angola	AGO	YR1991	.	.	.	.	.	41.352640545145	.	117400000.000000000000	760.000000000000	165.399580833489	0.000044164551
Angola	AGO	YR1992	.	.	.	.	.	51.481964180610	.	95144000.000000000000	440.000000000000	252.740496547812	0.000155786257
Angola	AGO	YR1993	.	.	.	.	.	40.549327354260	.	89200000.000000000000	300.000000000000	1253.280568225800	0.002108225143
Angola	AGO	YR1994	.	.	.	.	.	21.431424766977	.	150200000.000000000000	190.000000000000	2124.607237119360	0.046899729117
Angola	AGO	YR1995	9000.000000000000	0.703902592395	27000000.000000000000	17000000.000000000000	10000000.000000000000	31.786339754816	.	113058000.000000000000	310.000000000000	1895.206492987290	0.935746440533
Angola	AGO	YR1996	21000.000000000000	0.708603698277	38000000.000000000000	29000000.000000000000	9000000.000000000000	36.061857769632	0.674715437436	225873000.000000000000	370.000000000000	5399.526172389430	51.461620404330
Angola	AGO	YR1997	45000.000000000000	0.466445105242	24000000.000000000000	15000000.000000000000	9000000.000000000000	32.366103652375	.	138540000.000000000000	460.000000000000	94.319571001276	100.000000000000
Angola	AGO	YR1998	52000.000000000000	1.064207165662	39000000.000000000000	31000000.000000000000	8000000.000000000000	45.391118772059	.	121830000.000000000000	450.000000000000	35.316825206298	135.316825206298
Angola	AGO	YR1999	45000.000000000000	0.583858020797	31000000.000000000000	18000000.000000000000	13000000.000000000000	30.722970322918	.	152980000.000000000000	380.000000000000	556.939256854252	888.949345909020
